matched_virus,original_assay,assay_clean,host_species,host_genus,country,n_assayed,n_positive,Author,Title,Publication Title,DOI,Publication Year
Mammarenavirus lassaense,NA,Serology,Lophuromys sikapusi,Lophuromys,Ivory Coast,17,2,"Coulibaly-N'Golo, David; Allali, Bernard; Kouassi, Stéphane K.; Fichet-Calvet, Elisabeth; Becker-Ziaja, Beate; Rieger, Toni; Olschläger, Stephan; Dosso, Hernri; Denys, Christiane; Ter Meulen, Jan; Akoua-Koffi, Chantal; Günther, Stephan",Novel arenavirus sequences in Hylomyscus sp. and Mus (Nannomys) setulosus from Côte d'Ivoire: implications for evolution of arenaviruses in Africa.,PloS one,10.1371/journal.pone.0020893,2011
Mammarenavirus lassaense,NA,Serology,Mastomys natalensis,Mastomys,Ivory Coast,453,5,"Coulibaly-N'Golo, David; Allali, Bernard; Kouassi, Stéphane K.; Fichet-Calvet, Elisabeth; Becker-Ziaja, Beate; Rieger, Toni; Olschläger, Stephan; Dosso, Hernri; Denys, Christiane; Ter Meulen, Jan; Akoua-Koffi, Chantal; Günther, Stephan",Novel arenavirus sequences in Hylomyscus sp. and Mus (Nannomys) setulosus from Côte d'Ivoire: implications for evolution of arenaviruses in Africa.,PloS one,10.1371/journal.pone.0020893,2011
Mammarenavirus lassaense,NA,Serology,Mus minutoides,Mus,Ivory Coast,16,4,"Coulibaly-N'Golo, David; Allali, Bernard; Kouassi, Stéphane K.; Fichet-Calvet, Elisabeth; Becker-Ziaja, Beate; Rieger, Toni; Olschläger, Stephan; Dosso, Hernri; Denys, Christiane; Ter Meulen, Jan; Akoua-Koffi, Chantal; Günther, Stephan",Novel arenavirus sequences in Hylomyscus sp. and Mus (Nannomys) setulosus from Côte d'Ivoire: implications for evolution of arenaviruses in Africa.,PloS one,10.1371/journal.pone.0020893,2011
Mammarenavirus lassaense,NA,Serology,Mus setulosus,Mus,Ivory Coast,25,7,"Coulibaly-N'Golo, David; Allali, Bernard; Kouassi, Stéphane K.; Fichet-Calvet, Elisabeth; Becker-Ziaja, Beate; Rieger, Toni; Olschläger, Stephan; Dosso, Hernri; Denys, Christiane; Ter Meulen, Jan; Akoua-Koffi, Chantal; Günther, Stephan",Novel arenavirus sequences in Hylomyscus sp. and Mus (Nannomys) setulosus from Côte d'Ivoire: implications for evolution of arenaviruses in Africa.,PloS one,10.1371/journal.pone.0020893,2011
Mammarenavirus lassaense,NA,Serology,NA,Crocidura,Ivory Coast,15,1,"Coulibaly-N'Golo, David; Allali, Bernard; Kouassi, Stéphane K.; Fichet-Calvet, Elisabeth; Becker-Ziaja, Beate; Rieger, Toni; Olschläger, Stephan; Dosso, Hernri; Denys, Christiane; Ter Meulen, Jan; Akoua-Koffi, Chantal; Günther, Stephan",Novel arenavirus sequences in Hylomyscus sp. and Mus (Nannomys) setulosus from Côte d'Ivoire: implications for evolution of arenaviruses in Africa.,PloS one,10.1371/journal.pone.0020893,2011
Mammarenavirus lassaense,NA,PCR,Mastomys erythroleucus,Mastomys,Nigeria,73,12,"Oyeyiola, Akinlabi and Adesina, Adetunji Samuel and Obadare, Adeoba and Igbokwe, Joseph and Fasogbon, Samuel Ayobami and Abejegah, Chukwuyem and Akhilomen, Patience and Asogun, Danny and Tobin, Ekaete and Ayodeji, Olufemi and others",Impact of seasonal change on virus-rodent dynamics in Nigeria’s Edo-Ondo hotspot for Lassa fever,Current Research in Parasitology & Vector-Borne Diseases,https://doi.org/10.1016/j.crpvbd.2025.100271,2025
Mammarenavirus lassaense,NA,PCR,Mastomys natalensis,Mastomys,Nigeria,315,90,"Oyeyiola, Akinlabi and Adesina, Adetunji Samuel and Obadare, Adeoba and Igbokwe, Joseph and Fasogbon, Samuel Ayobami and Abejegah, Chukwuyem and Akhilomen, Patience and Asogun, Danny and Tobin, Ekaete and Ayodeji, Olufemi and others",Impact of seasonal change on virus-rodent dynamics in Nigeria’s Edo-Ondo hotspot for Lassa fever,Current Research in Parasitology & Vector-Borne Diseases,https://doi.org/10.1016/j.crpvbd.2025.100271,2025
Mammarenavirus lassaense,NA,Serology,Heliosciurus rufobrachium,Heliosciurus,Nigeria,0,1,"Oyeyiola, Akinlabi and Adesina, Adetunji Samuel and Obadare, Adeoba and Igbokwe, Joseph and Fasogbon, Samuel Ayobami and Abejegah, Chukwuyem and Akhilomen, Patience and Asogun, Danny and Tobin, Ekaete and Ayodeji, Olufemi and others",Impact of seasonal change on virus-rodent dynamics in Nigeria’s Edo-Ondo hotspot for Lassa fever,Current Research in Parasitology & Vector-Borne Diseases,https://doi.org/10.1016/j.crpvbd.2025.100271,2025
Mammarenavirus lassaense,NA,Serology,Mastomys erythroleucus,Mastomys,Nigeria,68,21,"Oyeyiola, Akinlabi and Adesina, Adetunji Samuel and Obadare, Adeoba and Igbokwe, Joseph and Fasogbon, Samuel Ayobami and Abejegah, Chukwuyem and Akhilomen, Patience and Asogun, Danny and Tobin, Ekaete and Ayodeji, Olufemi and others",Impact of seasonal change on virus-rodent dynamics in Nigeria’s Edo-Ondo hotspot for Lassa fever,Current Research in Parasitology & Vector-Borne Diseases,https://doi.org/10.1016/j.crpvbd.2025.100271,2025
Mammarenavirus lassaense,NA,Serology,Mastomys natalensis,Mastomys,Nigeria,315,78,"Oyeyiola, Akinlabi and Adesina, Adetunji Samuel and Obadare, Adeoba and Igbokwe, Joseph and Fasogbon, Samuel Ayobami and Abejegah, Chukwuyem and Akhilomen, Patience and Asogun, Danny and Tobin, Ekaete and Ayodeji, Olufemi and others",Impact of seasonal change on virus-rodent dynamics in Nigeria’s Edo-Ondo hotspot for Lassa fever,Current Research in Parasitology & Vector-Borne Diseases,https://doi.org/10.1016/j.crpvbd.2025.100271,2025
