rodent_uid,trap_uid,clean_names,genus,sub_family,family,sex,age_group,weight,head_body,cut_tail,hind_foot,ear,length_skull,testes,seminal_vesicles,vagina_perforate,teats_visible,pairs_teats,number_embryos,notes,all_samples,source_data,village,visit,trap_night,grid_number,trap_number
5_LAL_011,lalehun_5_3_5_199,crocidura_olivieri,crocidura,crocidurinae,soricidae,female,adult,20,108,no,19,7,34,NA,NA,yes,yes,2,0,NA,yes,ODK,lalehun,5,3,5,199
5_LAL_010,lalehun_5_3_2_84,crocidura_buettikoferi,crocidura,crocidurinae,soricidae,female,adult,14,98,no,16,8,33,NA,NA,yes,yes,3,0,NA,yes,ODK,lalehun,5,3,2,84
5_LAL_009,lalehun_5_2_7_292,rattus_rattus,rattus,murinae,muridae,male,juvenile,18,88,no,27,19,35,internal,no,NA,NA,NA,NA,NA,yes,ODK,lalehun,5,2,7,292
5_LAL_008,lalehun_5_2_7_262,hylomyscus_simus,hylomyscus,murinae,muridae,female,adult,24,95,yes,20,17,28,NA,NA,yes,yes,3,4,NA,yes,ODK,lalehun,5,2,7,262
5_LAL_007,lalehun_5_2_7_255,mastomys_natalensis,mastomys,murinae,muridae,female,adult,36,101,no,23,18,35,NA,NA,yes,yes,4,0,NA,yes,ODK,lalehun,5,2,7,255
5_LAL_006,lalehun_5_2_3_118,crocidura_buettikoferi,crocidura,crocidurinae,soricidae,male,adult,14,93,no,17,6,28,internal,yes,NA,NA,NA,NA,NA,yes,ODK,lalehun,5,2,3,118
5_LAL_005,lalehun_5_2_3_114,crocidura_olivieri,crocidura,crocidurinae,soricidae,male,adult,39,125,no,19,8,33,internal,yes,NA,NA,NA,NA,NA,yes,ODK,lalehun,5,2,3,114
5_LAL_004,lalehun_5_2_2_75,mus_setulosus,mus,murinae,muridae,female,adult,14,78,no,17,11,23,NA,NA,yes,yes,3,0,NA,yes,ODK,lalehun,5,2,2,75
5_LAL_003,lalehun_5_1_7_264,praomys_rostratus,praomys,murinae,muridae,female,adult,23,88,no,25,19,33,NA,NA,yes,yes,3,2,NA,yes,ODK,lalehun,5,1,7,264
5_LAL_002,lalehun_5_1_3_121,lophuromys_sikapusi,lophuromys,murinae,muridae,male,adult,24,93,no,23,15,26,internal,yes,NA,NA,NA,NA,NA,yes,ODK,lalehun,5,1,3,121
5_LAL_001,lalehun_5_1_2_83,mus_setulosus,mus,murinae,muridae,female,adult,19,79,no,19,11,25,NA,NA,yes,yes,3,5,NA,yes,ODK,lalehun,5,1,2,83
4_LAM_036,lambayama_4_4_7_280,mus_musculus,mus,murinae,muridae,male,adult,9,70,no,25,12,17,external,yes,NA,NA,NA,NA,NA,yes,ODK,lambayama,4,4,7,280
4_LAM_035,lambayama_4_4_4_150,crocidura_olivieri,crocidura,crocidurinae,soricidae,male,adult,43,135,no,19,12,32,external,yes,NA,NA,NA,NA,NA,no,ODK,lambayama,4,4,4,150
4_LAM_034,lambayama_4_3_7_293,mus_musculus,mus,murinae,muridae,male,adult,14,82,no,15,10,26,external,yes,NA,NA,NA,NA,NA,yes,ODK,lambayama,4,3,7,293
4_LAM_033,lambayama_4_3_7_292,mus_musculus,mus,murinae,muridae,female,adult,17,81,no,16,14,27,NA,NA,yes,yes,5,4,NA,yes,ODK,lambayama,4,3,7,292
4_LAM_032,lambayama_4_3_7_288,mus_musculus,mus,murinae,muridae,male,adult,12,70,no,16,14,29,external,yes,NA,NA,NA,NA,NA,yes,ODK,lambayama,4,3,7,288
4_LAM_031,lambayama_4_3_7_291,mus_musculus,mus,murinae,muridae,female,adult,19,91,no,17,12,28,NA,NA,yes,yes,6,0,NA,yes,ODK,lambayama,4,3,7,291
4_LAM_030,lambayama_4_3_7_290,mus_musculus,mus,murinae,muridae,female,adult,12,96,no,18,14,26,NA,NA,yes,yes,5,0,NA,yes,ODK,lambayama,4,3,7,290
4_LAM_029,lambayama_4_3_7_289,mus_musculus,mus,murinae,muridae,female,adult,16,80,no,16,11,26,NA,NA,yes,yes,4,5,NA,yes,ODK,lambayama,4,3,7,289
4_LAM_028,lambayama_4_3_7_287,mus_musculus,mus,murinae,muridae,female,adult,14,90,no,22,13,30,NA,NA,yes,yes,5,6,NA,yes,ODK,lambayama,4,3,7,287
4_LAM_027,lambayama_4_3_7_286,mus_musculus,mus,murinae,muridae,male,adult,11,79,no,16,12,28,external,yes,NA,NA,NA,NA,NA,yes,ODK,lambayama,4,3,7,286
4_LAM_026,lambayama_4_3_7_280,mus_musculus,mus,murinae,muridae,female,juvenile,9,73,no,14,11,28,NA,NA,no,yes,4,0,NA,yes,ODK,lambayama,4,3,7,280
4_LAM_025,lambayama_4_3_7_265,mus_musculus,mus,murinae,muridae,female,juvenile,9,78,no,15,10,25,NA,NA,no,no,NA,0,NA,yes,ODK,lambayama,4,3,7,265
4_LAM_024,lambayama_4_3_7_263,mus_musculus,mus,murinae,muridae,female,adult,18,87,no,16,15,29,NA,NA,yes,yes,4,4,NA,yes,ODK,lambayama,4,3,7,263
4_LAM_023,lambayama_4_3_7_261,mus_musculus,mus,murinae,muridae,male,adult,16,79,yes,15,12,25,external,yes,NA,NA,NA,NA,NA,yes,ODK,lambayama,4,3,7,261
4_LAM_022,lambayama_4_3_7_203,crocidura_olivieri,crocidura,crocidurinae,soricidae,female,adult,30,121,no,22,11,45,NA,NA,yes,yes,3,0,NA,yes,ODK,lambayama,4,3,7,203
4_LAM_021,lambayama_4_2_7_277,mus_musculus,mus,murinae,muridae,female,adult,13,77,no,16,10,23,NA,NA,yes,yes,4,4,NA,yes,ODK,lambayama,4,2,7,277
4_LAM_020,lambayama_4_2_7_276,mus_musculus,mus,murinae,muridae,female,adult,9,81,no,15,12,27,NA,NA,yes,yes,4,0,NA,yes,ODK,lambayama,4,2,7,276
4_LAM_019,lambayama_4_2_7_261,mus_musculus,mus,murinae,muridae,male,adult,11,81,no,15,12,31,external,yes,NA,NA,NA,NA,NA,yes,ODK,lambayama,4,2,7,261
4_LAM_018,lambayama_4_2_7_216,mus_musculus,mus,murinae,muridae,male,adult,14,78,no,21,13,30,external,yes,NA,NA,NA,NA,NA,yes,ODK,lambayama,4,2,7,216
4_LAM_017,lambayama_4_2_4_161,crocidura_buettikoferi,crocidura,crocidurinae,soricidae,female,juvenile,21,94,no,18,11,40,NA,NA,no,no,NA,0,NA,no,ODK,lambayama,4,2,4,161
4_LAM_016,lambayama_4_2_4_154,rattus_rattus,rattus,murinae,muridae,male,adult,120,161,no,34,21,55,external,yes,NA,NA,NA,NA,NA,yes,ODK,lambayama,4,2,4,154
4_LAM_015,lambayama_4_1_7_293,mus_musculus,mus,murinae,muridae,female,adult,16,89,no,16,14,28,NA,NA,yes,yes,4,5,NA,yes,ODK,lambayama,4,1,7,293
4_LAM_014,lambayama_4_1_7_292,mus_musculus,mus,murinae,muridae,female,adult,13,89,no,19,11,28,NA,NA,yes,yes,4,0,NA,yes,ODK,lambayama,4,1,7,292
4_LAM_013,lambayama_4_1_7_291,mus_musculus,mus,murinae,muridae,female,adult,19,88,no,19,12,27,NA,NA,yes,yes,4,2,NA,yes,ODK,lambayama,4,1,7,291
4_LAM_012,lambayama_4_1_7_290,mus_musculus,mus,murinae,muridae,female,juvenile,8,73,no,20,11,28,NA,NA,no,no,NA,0,NA,yes,ODK,lambayama,4,1,7,290
4_LAM_011,lambayama_4_1_7_289,mus_musculus,mus,murinae,muridae,male,adult,12,82,yes,16,9,31,external,yes,NA,NA,NA,NA,NA,yes,ODK,lambayama,4,1,7,289
4_LAM_010,lambayama_4_1_7_288,mus_musculus,mus,murinae,muridae,male,adult,11,95,no,16,11,26,external,yes,NA,NA,NA,NA,NA,yes,ODK,lambayama,4,1,7,288
4_LAM_009,lambayama_4_1_7_287,mus_musculus,mus,murinae,muridae,male,adult,14,93,no,21,11,26,external,yes,NA,NA,NA,NA,NA,no,ODK,lambayama,4,1,7,287
4_LAM_008,lambayama_4_1_7_279,mus_musculus,mus,murinae,muridae,male,adult,11,76,no,15,9,27,external,yes,NA,NA,NA,NA,NA,no,ODK,lambayama,4,1,7,279
4_LAM_007,lambayama_4_1_7_275,mus_musculus,mus,murinae,muridae,male,adult,13,76,no,19,13,32,external,yes,NA,NA,NA,NA,NA,yes,ODK,lambayama,4,1,7,275
4_LAM_006,lambayama_4_1_7_262,mus_musculus,mus,murinae,muridae,female,adult,15,83,no,21,11,32,NA,NA,yes,yes,4,3,NA,yes,ODK,lambayama,4,1,7,262
4_LAM_005,lambayama_4_1_7_259,mus_musculus,mus,murinae,muridae,male,adult,11,76,no,13,12,25,external,yes,NA,NA,NA,NA,NA,yes,ODK,lambayama,4,1,7,259
4_LAM_004,lambayama_4_1_4_158,crocidura_olivieri,crocidura,crocidurinae,soricidae,female,adult,35,111,no,16,6,45,NA,NA,yes,yes,3,0,NA,no,ODK,lambayama,4,1,4,158
4_LAM_003,lambayama_4_1_7_211,rattus_rattus,rattus,murinae,muridae,male,adult,115,172,no,32,21,52,external,yes,NA,NA,NA,NA,NA,yes,ODK,lambayama,4,1,7,211
4_LAM_002,lambayama_4_1_4_173,dasymys_rufulus,dasymys,murinae,muridae,male,adult,67,151,no,32,17,38,external,yes,NA,NA,NA,NA,NA,yes,ODK,lambayama,4,1,4,173
4_LAM_001,lambayama_4_1_4_159,crocidura_olivieri,crocidura,crocidurinae,soricidae,female,adult,30,101,no,20,7,42,NA,NA,yes,yes,3,0,NA,no,ODK,lambayama,4,1,4,159
4_BAI_019,baiama_4_3_7_288,rattus_rattus,rattus,murinae,muridae,female,adult,61,149,no,29,24,39,NA,NA,yes,yes,3,0,NA,yes,ODK,baiama,4,3,7,288
4_BAI_018,baiama_4_3_7_281,rattus_rattus,rattus,murinae,muridae,female,adult,52,131,no,33,22,36,NA,NA,yes,yes,3,0,NA,yes,ODK,baiama,4,3,7,281
4_BAI_017,baiama_4_3_7_280,rattus_rattus,rattus,murinae,muridae,female,adult,43,129,no,29,21,39,NA,NA,yes,yes,3,0,NA,yes,ODK,baiama,4,3,7,280
4_BAI_016,baiama_4_3_7_279,rattus_rattus,rattus,murinae,muridae,male,adult,130,187,no,37,26,47,external,yes,NA,NA,NA,NA,NA,yes,ODK,baiama,4,3,7,279
4_BAI_015,baiama_4_3_7_264,rattus_rattus,rattus,murinae,muridae,female,adult,120,179,no,35,24,45,NA,NA,yes,yes,3,0,NA,yes,ODK,baiama,4,3,7,264
4_BAI_014,baiama_4_3_7_261,rattus_rattus,rattus,murinae,muridae,female,juvenile,20,89,no,23,17,29,NA,NA,no,no,NA,0,NA,yes,ODK,baiama,4,3,7,261
4_BAI_013,baiama_4_3_7_258,mastomys_natalensis,mastomys,murinae,muridae,male,adult,61,140,no,26,18,35,external,yes,NA,NA,NA,NA,NA,yes,ODK,baiama,4,3,7,258
4_BAI_012,baiama_4_3_7_251,hylomyscus_simus,hylomyscus,murinae,muridae,female,adult,18,88,no,21,16,27,NA,NA,yes,yes,2,0,NA,no,ODK,baiama,4,3,7,251
4_BAI_011,baiama_4_2_7_262,rattus_rattus,rattus,murinae,muridae,female,juvenile,21,99,no,25,18,34,NA,NA,no,yes,3,0,NA,yes,ODK,baiama,4,2,7,262
4_BAI_010,baiama_4_2_7_253,mastomys_natalensis,mastomys,murinae,muridae,female,juvenile,22,88,no,23,17,32,NA,NA,no,yes,7,0,NA,yes,ODK,baiama,4,2,7,253
4_BAI_009,baiama_4_1_7_266,rattus_rattus,rattus,murinae,muridae,male,adult,51,138,no,30,20,32,external,yes,NA,NA,NA,NA,NA,yes,ODK,baiama,4,1,7,266
4_BAI_008,baiama_4_1_7_263,rattus_rattus,rattus,murinae,muridae,male,adult,110,174,no,32,21,40,external,yes,NA,NA,NA,NA,NA,yes,ODK,baiama,4,1,7,263
4_BAI_007,baiama_4_1_7_260,rattus_rattus,rattus,murinae,muridae,male,juvenile,20,88,no,25,15,26,internal,no,NA,NA,NA,NA,NA,yes,ODK,baiama,4,1,7,260
4_BAI_006,baiama_4_1_7_252,mastomys_natalensis,mastomys,murinae,muridae,male,adult,23,99,no,23,16,22,external,yes,NA,NA,NA,NA,NA,yes,ODK,baiama,4,1,7,252
4_BAI_005,baiama_4_1_7_246,rattus_rattus,rattus,murinae,muridae,male,juvenile,28,104,no,27,20,30,internal,no,NA,NA,NA,NA,NA,yes,ODK,baiama,4,1,7,246
4_BAI_004,baiama_4_1_7_233,rattus_rattus,rattus,murinae,muridae,female,adult,59,132,no,31,19,32,NA,NA,yes,yes,3,0,NA,yes,ODK,baiama,4,1,7,233
4_BAI_003,baiama_4_1_7_216,mastomys_natalensis,mastomys,murinae,muridae,male,adult,53,125,no,23,17,27,external,yes,NA,NA,NA,NA,NA,yes,ODK,baiama,4,1,7,216
4_BAI_002,baiama_4_1_7_206,crocidura_grandiceps,crocidura,crocidurinae,soricidae,female,adult,17,79,no,15,8,20,NA,NA,yes,yes,3,0,NA,no,ODK,baiama,4,1,7,206
4_BAI_001,baiama_4_1_4_149,lophuromys_sikapusi,lophuromys,murinae,muridae,male,adult,68,125,no,20,17,30,external,yes,NA,NA,NA,NA,NA,no,ODK,baiama,4,1,4,149
4_SEI_023,seilama_4_4_7_292,mastomys_natalensis,mastomys,murinae,muridae,female,adult,40,119,no,23,16,31,NA,NA,yes,yes,9,0,NA,yes,ODK,seilama,4,4,7,292
4_SEI_022,seilama_4_4_7_279,praomys_rostratus,praomys,murinae,muridae,female,adult,27,96,no,22,17,22,NA,NA,yes,yes,3,0,NA,yes,ODK,seilama,4,4,7,279
4_SEI_021,seilama_4_4_3_140,mastomys_natalensis,mastomys,murinae,muridae,female,juvenile,9,68,no,18,13,19,NA,NA,no,no,NA,0,NA,yes,ODK,seilama,4,4,3,140
4_SEI_020,seilama_4_4_3_132,mastomys_natalensis,mastomys,murinae,muridae,male,adult,69,133,no,27,18,25,external,yes,NA,NA,NA,NA,NA,yes,ODK,seilama,4,4,3,132
4_SEI_019,seilama_4_4_2_93,mus_setulosus,mus,murinae,muridae,male,adult,13,80,no,15,10,20,external,yes,NA,NA,NA,NA,NA,yes,ODK,seilama,4,4,2,93
4_SEI_018,seilama_4_3_5_239,hybomys_planifrons,hybomys,murinae,muridae,male,adult,53,120,yes,27,19,30,external,yes,NA,NA,NA,NA,NA,yes,ODK,seilama,4,3,5,239
4_SEI_017,seilama_4_3_4_188,lophuromys_sikapusi,lophuromys,murinae,muridae,male,adult,50,118,no,22,17,29,internal,yes,NA,NA,NA,NA,NA,yes,ODK,seilama,4,3,4,188
4_SEI_016,seilama_4_3_4_171,lophuromys_sikapusi,lophuromys,murinae,muridae,female,adult,65,126,no,20,16,29,NA,NA,yes,yes,3,0,NA,yes,ODK,seilama,4,3,4,171
4_SEI_015,seilama_4_3_4_170,crocidura_grandiceps,crocidura,crocidurinae,soricidae,male,juvenile,15,87,no,15,10,25,internal,no,NA,NA,NA,NA,NA,yes,ODK,seilama,4,3,4,170
4_SEI_014,seilama_4_3_4_161,lophuromys_sikapusi,lophuromys,murinae,muridae,male,adult,65,130,yes,22,17,29,external,yes,NA,NA,NA,NA,NA,yes,ODK,seilama,4,3,4,161
4_SEI_013,seilama_4_3_1_44,praomys_rostratus,praomys,murinae,muridae,female,adult,36,110,no,25,17,30,NA,NA,yes,yes,3,3,NA,yes,ODK,seilama,4,3,1,44
4_SEI_010,seilama_4_1_7_313,mastomys_natalensis,mastomys,murinae,muridae,female,adult,59,129,no,22,18,27,NA,NA,yes,yes,9,0,NA,yes,ODK,seilama,4,1,7,313
4_SEI_009,seilama_4_1_7_259,lophuromys_sikapusi,lophuromys,murinae,muridae,female,adult,62,125,no,22,17,30,NA,NA,yes,yes,3,3,NA,yes,ODK,seilama,4,1,7,259
4_SEI_008,seilama_4_1_4_181,lophuromys_sikapusi,lophuromys,murinae,muridae,female,adult,82,130,yes,22,20,34,NA,NA,yes,yes,4,2,NA,yes,ODK,seilama,4,1,4,181
4_SEI_007,seilama_4_1_2_56,praomys_rostratus,praomys,murinae,muridae,female,adult,53,121,yes,25,19,35,NA,NA,yes,yes,3,4,NA,yes,ODK,seilama,4,1,2,56
4_SEI_006,seilama_4_1_2_52,mastomys_natalensis,mastomys,murinae,muridae,female,adult,43,125,yes,22,17,30,NA,NA,yes,yes,9,2,NA,yes,ODK,seilama,4,1,2,52
4_SEI_005,seilama_4_1_1_42,praomys_rostratus,praomys,murinae,muridae,male,adult,17,85,no,22,17,20,external,yes,NA,NA,NA,NA,NA,yes,ODK,seilama,4,1,1,42
4_SEI_004,seilama_4_1_1_41,mastomys_natalensis,mastomys,murinae,muridae,female,adult,19,88,yes,15,10,30,NA,NA,yes,yes,5,3,NA,no,ODK,seilama,4,1,1,41
4_SEI_003,seilama_4_1_1_31,crocidura_buettikoferi,crocidura,crocidurinae,soricidae,female,adult,17,93,no,18,10,27,NA,NA,yes,yes,3,0,NA,yes,ODK,seilama,4,1,1,31
4_SEI_002,seilama_4_1_1_12,mus_setulosus,mus,murinae,muridae,female,adult,8,63,no,15,10,18,NA,NA,yes,yes,3,1,NA,yes,ODK,seilama,4,1,1,12
4_SEI_001,seilama_4_1_1_2,lophuromys_sikapusi,lophuromys,murinae,muridae,female,adult,62,121,no,22,17,30,NA,NA,yes,yes,3,2,NA,yes,ODK,seilama,4,1,1,2
4_LAL_028,lalehun_4_4_7_273,crocidura_grandiceps,crocidura,crocidurinae,soricidae,female,adult,14,88,no,18,7,28,NA,NA,yes,yes,2,0,NA,yes,ODK,lalehun,4,4,7,273
4_LAL_027,lalehun_4_4_7_274,crocidura_olivieri,crocidura,crocidurinae,soricidae,female,adult,32,120,no,21,9,36,NA,NA,yes,yes,2,0,NA,no,ODK,lalehun,4,4,7,274
4_LAL_026,lalehun_4_4_7_272,rattus_rattus,rattus,murinae,muridae,male,adult,24,100,no,28,20,29,internal,yes,NA,NA,NA,NA,NA,yes,ODK,lalehun,4,4,7,272
4_LAL_025,lalehun_4_4_7_271,mastomys_natalensis,mastomys,murinae,muridae,female,adult,57,119,no,26,24,39,NA,NA,yes,yes,4,0,NA,yes,ODK,lalehun,4,4,7,271
4_LAL_024,lalehun_4_4_7_267,rattus_rattus,rattus,murinae,muridae,female,adult,63,130,no,33,27,45,NA,NA,yes,yes,3,0,NA,yes,ODK,lalehun,4,4,7,267
4_LAL_023,lalehun_4_4_7_249,mastomys_natalensis,mastomys,murinae,muridae,female,adult,20,88,no,24,17,33,NA,NA,yes,yes,3,0,NA,yes,ODK,lalehun,4,4,7,249
4_LAL_022,lalehun_4_4_3_125,mus_setulosus,mus,murinae,muridae,female,adult,13,75,no,16,12,23,NA,NA,yes,yes,3,0,NA,yes,ODK,lalehun,4,4,3,125
4_LAL_021,lalehun_4_4_3_103,crocidura_buettikoferi,crocidura,crocidurinae,soricidae,female,adult,25,95,no,18,8,28,NA,NA,yes,yes,3,2,NA,yes,ODK,lalehun,4,4,3,103
4_LAL_012,lalehun_4_2_7_277,mastomys_natalensis,mastomys,murinae,muridae,female,adult,52,138,no,18,14,42,NA,NA,yes,yes,7,0,NA,yes,ODK,lalehun,4,2,7,277
4_LAL_011,lalehun_4_2_7_278,mastomys_natalensis,mastomys,murinae,muridae,male,adult,60,142,no,23,17,42,external,yes,NA,NA,NA,NA,NA,yes,ODK,lalehun,4,2,7,278
4_LAL_010,lalehun_4_2_7_271,rattus_rattus,rattus,murinae,muridae,male,adult,59,142,no,29,22,36,external,yes,NA,NA,NA,NA,NA,yes,ODK,lalehun,4,2,7,271
4_LAL_009,lalehun_4_2_7_269,rattus_rattus,rattus,murinae,muridae,male,adult,156,182,no,35,24,55,external,yes,NA,NA,NA,NA,NA,yes,ODK,lalehun,4,2,7,269
4_LAL_008,lalehun_4_2_7_249,mastomys_natalensis,mastomys,murinae,muridae,male,juvenile,20,94,no,22,15,30,internal,no,NA,NA,NA,NA,NA,yes,ODK,lalehun,4,2,7,249
4_LAL_007,lalehun_4_2_3_142,mastomys_natalensis,mastomys,murinae,muridae,male,juvenile,19,97,no,19,14,28,internal,no,NA,NA,NA,NA,NA,yes,ODK,lalehun,4,2,3,142
4_LAL_006,lalehun_4_2_3_116,lophuromys_sikapusi,lophuromys,murinae,muridae,female,adult,35,118,no,22,16,39,NA,NA,yes,yes,3,0,NA,no,ODK,lalehun,4,2,3,116
3_SEI_024,seilama_3_4_4_141,crocidura_olivieri,crocidura,crocidurinae,soricidae,male,juvenile,22,119,no,20,12,35,internal,no,NA,NA,NA,NA,NA,yes,ODK,seilama,3,4,4,141
3_SEI_022,seilama_3_4_1_7,crocidura_olivieri,crocidura,crocidurinae,soricidae,female,adult,34,122,no,18,13,30,NA,NA,yes,yes,3,2,NA,no,ODK,seilama,3,4,1,7
3_SEI_023,seilama_3_4_2_93,mus_setulosus,mus,murinae,muridae,male,adult,16,74,no,15,11,22,external,yes,NA,NA,NA,NA,NA,yes,ODK,seilama,3,4,2,93
3_SEI_021,seilama_3_4_4_142,praomys_rostratus,praomys,murinae,muridae,female,adult,50,127,no,25,19,30,NA,NA,yes,yes,3,0,NA,no,ODK,seilama,3,4,4,142
3_SEI_020,seilama_3_3_3_151,crocidura_olivieri,crocidura,crocidurinae,soricidae,female,adult,23,111,no,18,12,30,NA,NA,yes,yes,3,3,NA,yes,ODK,seilama,3,3,3,151
3_SEI_019,seilama_3_3_2_58,praomys_rostratus,praomys,murinae,muridae,female,adult,52,125,yes,23,19,30,NA,NA,yes,yes,3,2,NA,yes,ODK,seilama,3,3,2,58
3_SEI_018,seilama_3_3_5_225,praomys_rostratus,praomys,murinae,muridae,male,adult,37,112,no,25,18,31,external,yes,NA,NA,NA,NA,NA,yes,ODK,seilama,3,3,5,225
3_SEI_017,seilama_3_3_3_158,crocidura_olivieri,crocidura,crocidurinae,soricidae,female,adult,22,117,no,19,9,30,NA,NA,yes,yes,6,3,NA,yes,ODK,seilama,3,3,3,158
3_SEI_016,seilama_3_3_1_37,praomys_rostratus,praomys,murinae,muridae,female,adult,54,122,no,24,18,33,NA,NA,yes,yes,3,0,NA,yes,ODK,seilama,3,3,1,37
3_SEI_015,seilama_3_2_7_271,lophuromys_sikapusi,lophuromys,murinae,muridae,male,adult,55,128,yes,20,16,27,external,yes,NA,NA,NA,NA,NA,yes,ODK,seilama,3,2,7,271
3_SEI_014,seilama_3_2_5_218,lemniscomys_striatus,lemniscomys,murinae,muridae,female,adult,51,128,no,27,19,30,NA,NA,yes,yes,2,0,NA,yes,ODK,seilama,3,2,5,218
3_SEI_013,seilama_3_2_3_192,mastomys_natalensis,mastomys,murinae,muridae,female,adult,60,130,no,24,20,34,NA,NA,yes,yes,9,0,NA,yes,ODK,seilama,3,2,3,192
3_SEI_012,seilama_3_2_3_167,crocidura_buettikoferi,crocidura,crocidurinae,soricidae,male,juvenile,17,97,no,15,10,25,internal,no,NA,NA,NA,NA,NA,yes,ODK,seilama,3,2,3,167
3_SEI_011,seilama_3_2_4_130,mus_setulosus,mus,murinae,muridae,female,adult,7,66,no,11,10,18,NA,NA,yes,yes,3,5,NA,no,ODK,seilama,3,2,4,130
3_SEI_010,seilama_3_2_2_73,praomys_rostratus,praomys,murinae,muridae,female,adult,40,118,yes,225,18,31,NA,NA,yes,yes,3,3,NA,yes,ODK,seilama,3,2,2,73
3_SEI_009,seilama_3_2_1_2,crocidura_grandiceps,crocidura,crocidurinae,soricidae,male,juvenile,14,90,yes,16,8,28,internal,no,NA,NA,NA,NA,NA,no,ODK,seilama,3,2,1,2
3_SEI_008,seilama_3_2_7_274,crocidura_grandiceps,crocidura,crocidurinae,soricidae,male,juvenile,12,85,yes,15,15,25,internal,no,NA,NA,NA,NA,NA,yes,ODK,seilama,3,2,7,274
3_SEI_007,seilama_3_1_3_181,mastomys_natalensis,mastomys,murinae,muridae,male,adult,8,142,yes,24,18,30,external,yes,NA,NA,NA,NA,NA,yes,ODK,seilama,3,1,3,181
3_SEI_006,seilama_3_1_2_93,mus_setulosus,mus,murinae,muridae,male,adult,14,78,yes,13,10,20,external,yes,NA,NA,NA,NA,NA,yes,ODK,seilama,3,1,2,93
3_SEI_005,seilama_3_1_2_62,praomys_rostratus,praomys,murinae,muridae,female,adult,50,129,yes,24,19,30,NA,NA,yes,yes,3,3,NA,yes,ODK,seilama,3,1,2,62
3_SEI_004,seilama_3_1_2_51,praomys_rostratus,praomys,murinae,muridae,female,adult,33,110,yes,25,17,27,NA,NA,yes,yes,3,0,NA,yes,ODK,seilama,3,1,2,51
3_SEI_003,seilama_3_1_1_42,crocidura_olivieri,crocidura,crocidurinae,soricidae,female,adult,36,126,yes,19,12,32,NA,NA,yes,yes,3,0,NA,yes,ODK,seilama,3,1,1,42
3_SEI_002,seilama_3_1_1_16,crocidura_olivieri,crocidura,crocidurinae,soricidae,female,adult,31,130,yes,18,11,30,NA,NA,yes,yes,3,3,NA,yes,ODK,seilama,3,1,1,16
3_SEI_001,seilama_3_1_2_53,rattus_rattus,rattus,murinae,muridae,female,adult,22,99,yes,25,15,28,NA,NA,yes,yes,3,0,NA,yes,ODK,seilama,3,1,2,53
3_LAL_013,lalehun_3_4_5_208,mus_setulosus,mus,murinae,muridae,female,adult,18,79,no,12,15,22,NA,NA,yes,yes,3,0,NA,yes,ODK,lalehun,3,4,5,208
3_LAL_012,lalehun_3_4_2_154,crocidura_olivieri,crocidura,crocidurinae,soricidae,male,adult,35,126,no,20,10,34,internal,yes,NA,NA,NA,NA,NA,yes,ODK,lalehun,3,4,2,154
3_LAL_011,lalehun_3_4_4_250,crocidura_olivieri,crocidura,crocidurinae,soricidae,female,adult,27,115,no,16,13,35,NA,NA,yes,yes,3,0,NA,yes,ODK,lalehun,3,4,4,250
3_LAL_010,lalehun_3_4_7_127,crocidura_olivieri,crocidura,crocidurinae,soricidae,male,adult,23,110,no,19,8,30,internal,yes,NA,NA,NA,NA,NA,no,ODK,lalehun,3,4,7,127
3_LAL_009,lalehun_3_4_7_146,rattus_rattus,rattus,murinae,muridae,female,adult,23,95,no,24,18,25,NA,NA,yes,yes,3,0,NA,yes,ODK,lalehun,3,4,7,146
3_LAL_008,lalehun_3_4_7_136,rattus_rattus,rattus,murinae,muridae,female,adult,49,128,no,28,20,34,NA,NA,yes,yes,3,0,NA,yes,ODK,lalehun,3,4,7,136
3_LAL_006,lalehun_3_2_1_44,crocidura_olivieri,crocidura,crocidurinae,soricidae,female,adult,33,130,no,19,10,40,NA,NA,yes,yes,3,NA,NA,no,ODK,lalehun,3,2,1,44
3_LAL_005,lalehun_3_2_1_2,mastomys_natalensis,mastomys,murinae,muridae,female,adult,47,131,no,22,16,33,NA,NA,yes,yes,8,NA,NA,yes,ODK,lalehun,3,2,1,2
3_LAL_004,lalehun_3_1_2_170,crocidura_olivieri,crocidura,crocidurinae,soricidae,male,adult,21,104,yes,15,7,30,external,yes,NA,NA,NA,NA,NA,yes,ODK,lalehun,3,1,2,170
3_LAL_002,lalehun_3_1_1_48,crocidura_olivieri,crocidura,crocidurinae,soricidae,male,adult,25,120,yes,20,11,34,external,yes,NA,NA,NA,NA,NA,yes,ODK,lalehun,3,1,1,48
3_LAL_001,lalehun_3_1_1_14,crocidura_olivieri,crocidura,crocidurinae,soricidae,female,adult,29,122,yes,20,12,29,NA,NA,yes,yes,2,0,NA,yes,ODK,lalehun,3,1,1,14
3_BAI_002,baiama_3_2_1_22,praomys_rostratus,praomys,murinae,muridae,female,adult,46,102,no,26,19,35,NA,NA,yes,yes,4,3,NA,yes,ODK,baiama,3,2,1,22
3_LAM_006,lambayama_3_4_1_44,crocidura_olivieri,crocidura,crocidurinae,soricidae,female,adult,33,120,no,19,9,34,NA,NA,yes,yes,3,0,NA,no,ODK,lambayama,3,4,1,44
