rodent_uid,trap_uid,clean_names,genus,sub_family,family,sex,age_group,weight,head_body,cut_tail,hind_foot,ear,length_skull,testes,seminal_vesicles,vagina_perforate,teats_visible,pairs_teats,number_embryos,notes,all_samples,source_data,village,visit,trap_night,grid_number,trap_number
6_SEI_017,seilama_6_4_2_80,praomys_rostratus,praomys,murinae,muridae,female,adult,23,95,no,24,18,26,NA,NA,yes,yes,3,0,NA,yes,ODK,seilama,6,4,2,80
6_SEI_016,seilama_6_3_5_243,malacomys_edwardsi,malacomys,murinae,muridae,female,adult,59,125,no,37,24,45,NA,NA,yes,yes,2,0,NA,yes,ODK,seilama,6,3,5,243
6_SEI_015,seilama_6_3_4_148,lophuromys_sikapusi,lophuromys,murinae,muridae,male,adult,62,130,no,23,16,38,external,yes,NA,NA,NA,NA,NA,yes,ODK,seilama,6,3,4,148
6_SEI_014,seilama_6_3_3_131,mastomys_natalensis,mastomys,murinae,muridae,male,adult,55,139,no,24,18,37,external,yes,NA,NA,NA,NA,NA,yes,ODK,seilama,6,3,3,131
6_SEI_013,seilama_6_3_2_92,mastomys_natalensis,mastomys,murinae,muridae,female,adult,19,92,no,23,17,29,NA,NA,yes,yes,3,0,NA,yes,ODK,seilama,6,3,2,92
6_SEI_012,seilama_6_3_3_141,lemniscomys_striatus,lemniscomys,murinae,muridae,female,adult,35,109,no,28,17,34,NA,NA,yes,yes,3,0,NA,yes,ODK,seilama,6,3,3,141
6_SEI_011,seilama_6_3_1_11,mastomys_natalensis,mastomys,murinae,muridae,male,adult,38,118,no,27,19,34,external,yes,NA,NA,NA,NA,NA,yes,ODK,seilama,6,3,1,11
6_SEI_002,seilama_6_1_1_8,crocidura_olivieri,crocidura,crocidurinae,soricidae,male,adult,22,109,no,20,10,30,internal,yes,NA,NA,NA,NA,NA,yes,ODK,seilama,6,1,1,8
6_SEI_001,seilama_6_1_1_6,crocidura_olivieri,crocidura,crocidurinae,soricidae,male,adult,33,129,no,20,10,34,internal,yes,NA,NA,NA,NA,NA,yes,ODK,seilama,6,1,1,6
6_SEI_010,seilama_6_2_5_232,praomys_rostratus,praomys,murinae,muridae,male,adult,43,125,yes,27,20,30,external,yes,NA,NA,NA,NA,NA,yes,ODK,seilama,6,2,5,232
6_SEI_009,seilama_6_2_5_231,hylomyscus_simus,hylomyscus,murinae,muridae,female,adult,21,90,no,18,15,21,NA,NA,yes,yes,4,0,NA,yes,ODK,seilama,6,2,5,231
6_LAL_011,lalehun_6_3_2_56,crocidura_olivieri,crocidura,crocidurinae,soricidae,male,adult,33,109,no,20,10,27,internal,yes,NA,NA,NA,NA,NA,no,ODK,lalehun,6,3,2,56
